Наименование,Регистрационный номер,Дата регистрации,Статус,Регион регистрации,Организационно-правовая форма,Год,"Валовая прибыль (убыток), RUB","Всего использовано средств, RUB","Всего поступило средств, RUB","Выручка, RUB","Дебиторская задолженность, RUB","Денежные средства и денежные эквиваленты, RUB","Доходы от участия в других организациях, RUB","Доходы, RUB","Заёмные средства (краткосрочные), RUB","Капитал и резервы, RUB","Коммерческие расходы, RUB","Кредиторская задолженность, RUB","Остаток средств на конец отчетного года, RUB","Пассивы всего, RUB","Прибыль (убыток) до налогообложения , RUB","Прибыль (убыток) от продажи, RUB","Прибыль от приносящей доход деятельности, RUB","Приобретение основных средств, инвентаря и иного имущества, RUB","Проценты к получению, RUB","Проценты к уплате, RUB","Прочие доходы, RUB","Прочие расходы, RUB","Расходы на содержание аппарата управления, RUB","Расходы на целевые мероприятия, RUB","Расходы, RUB","Себестоимость продаж, RUB",Среднесписочная численность работников,"Текущий налог на прибыль, RUB","Управленческие расходы, RUB","Чистая прибыль (убыток), RUB"
"ПРИКОСНОВЕНИЕ, БФ",1175275021415.0,2017-03-21 00:00:00,Действующая,Нижегородская область,Благотворительные фонды,2021,,122000.0,116000.0,,,2000.0,,,,-3000.0,,5000.0,-3000.0,2000.0,,,,,,,,,92000.0,27000.0,,,,,,
"ПРИЛИВ, БФ",1177800000289.0,2017-01-19 00:00:00,Действующая,Санкт-Петербург,Благотворительные фонды,2021,,180000.0,165000.0,,21000.0,4000.0,,,,,,7000.0,17000.0,24000.0,,,,,,,,,180000.0,,,,,,,
"ПРИМИРЕНИЕ, ФОНД МИЛОСЕРДИЯ",1034400001580.0,2003-05-19 00:00:00,Действующая,Костромская область,Общественные фонды,2021,,5448000.0,4029000.0,,272000.0,1997000.0,,,,2233000.0,,36000.0,2234000.0,2269000.0,,,300000.0,362000.0,,,,,1660000.0,1042000.0,,,,,,
"ПРИМОРСКИЕ СТРУНЫ, ФОНД",1132500000896.0,2013-05-20 00:00:00,Действующая,Приморский край,Благотворительные фонды,2021,,101000.0,101000.0,,,,,,,,,,,,-19000.0,,,,,,,19000.0,71000.0,30000.0,,,,,,-19000.0
"ПРИМОРСКИЙ ПАРУС НАДЕЖДЫ, БФ",1212500005981.0,2021-03-23 00:00:00,Действующая,Приморский край,Благотворительные фонды,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ПРИОРИТЕТ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1125300000650.0,2012-10-17 00:00:00,Действующая,Новгородская область,Благотворительные фонды,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ПРИОРИТЕТЫ ЖИЗНИ, БФ",1196658066934.0,2019-10-01 00:00:00,Действующая,Свердловская область,Благотворительные фонды,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ПРИРОДА ВЫТЕГОРСКОГО КРАЯ, БФ",1173525041128.0,2017-12-28 00:00:00,Действующая,Вологодская область,Благотворительные фонды,2021,,,,,15000.0,,,,,,,,,15000.0,,,,,,,15000.0,15000.0,,,,,,,,
"ПРИРОДА И ДЕТИ, БФ",1035002009976.0,1997-04-03 00:00:00,Действующая,Московская область,Благотворительные фонды,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ПРИРОДА, БФ",1202600012240.0,2020-10-07 00:00:00,Действующая,Ставропольский край,Благотворительные фонды,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ПРИТЯЖЕНИЕ, БФ",1197800005578.0,2019-12-25 00:00:00,Действующая,Санкт-Петербург,Благотворительные фонды,2021,1003000.0,,,1003000.0,10000.0,81000.0,,,,259000.0,,17000.0,,276000.0,196000.0,205000.0,,,,,,9000.0,,,,,,,798000.0,196000.0
"ПРИЧАЛ ДОБРА, БФ",1182468045495.0,2018-07-30 00:00:00,Действующая,Красноярский край,Благотворительные фонды,2021,,2867000.0,2920000.0,,7000.0,147000.0,,,,,,96000.0,98000.0,154000.0,,,,,,,,,233000.0,2634000.0,,,,,,
"ПРИЮТ ДЛЯ ДИКИХ ЖИВОТНЫХ, БФ",1207800149446.0,2020-11-13 00:00:00,Действующая,Санкт-Петербург,Благотворительные фонды,2021,,2153000.0,14406000.0,,608000.0,7654000.0,,,,,,9000.0,12253000.0,12262000.0,,,,,,,,,,2153000.0,,,,,,
