Наименование,Регистрационный номер,Дата регистрации,Статус,Регион регистрации,Организационно-правовая форма,Год,"Валовая прибыль (убыток), RUB","Всего использовано средств, RUB","Всего поступило средств, RUB","Выручка, RUB","Дебиторская задолженность, RUB","Денежные средства и денежные эквиваленты, RUB","Доходы от участия в других организациях, RUB","Доходы, RUB","Заёмные средства (краткосрочные), RUB","Капитал и резервы, RUB","Коммерческие расходы, RUB","Кредиторская задолженность, RUB","Остаток средств на конец отчетного года, RUB","Пассивы всего, RUB","Прибыль (убыток) до налогообложения , RUB","Прибыль (убыток) от продажи, RUB","Прибыль от приносящей доход деятельности, RUB","Приобретение основных средств, инвентаря и иного имущества, RUB","Проценты к получению, RUB","Проценты к уплате, RUB","Прочие доходы, RUB","Прочие расходы, RUB","Расходы на содержание аппарата управления, RUB","Расходы на целевые мероприятия, RUB","Расходы, RUB","Себестоимость продаж, RUB",Среднесписочная численность работников,"Текущий налог на прибыль, RUB","Управленческие расходы, RUB","Чистая прибыль (убыток), RUB"
"ОТЧИЙ КРАЙ, ФОНД",1105200004282.0,2010-12-10 00:00:00,Действующая,Нижегородская область,Общественные фонды,2018,,,,,4558000.0,830000.0,,,,10000.0,,851000.0,,5388000.0,,,,,,,,,,,,,,,,
"ОТЧИНА, БФ",1165200050290.0,2016-01-28 00:00:00,Действующая,Нижегородская область,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ОТЧИНА, ОФ",1217200003195.0,2021-02-26 00:00:00,Действующая,Тюменская область,Общественные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ОФ КПЦ И. ХАНОВА, НО",1151600001827.0,2015-06-04 00:00:00,Действующая,Республика Татарстан,Общественные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ОФ МФА, АК",1022240528067.0,2002-04-25 00:00:00,Действующая,Алтайский край,Общественные фонды,2018,,615000.0,615000.0,,1000.0,,,,22000.0,-27000.0,,6000.0,,1000.0,-18000.0,,,,,,,18000.0,,615000.0,,,,,,-18000.0
"ОФВОГБ, МО",1045000004972.0,2004-06-03 00:00:00,Действующая,Московская область,Общественные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ОФВРОРКК,1034100001693.0,2002-05-17 00:00:00,Действующая,Камчатский край,Общественные фонды,2018,,,,40622000.0,147713000.0,2551000.0,,,,212992000.0,,40038000.0,,253030000.0,18725000.0,5456000.0,,,,,14580000.0,1311000.0,,,,35166000.0,,88000.0,,18637000.0
ОФВСТО,1077100000515.0,2007-03-22 00:00:00,Действующая,Тульская область,Общественные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ОФИСЭЗ, АО",1023000842490.0,2000-03-15 00:00:00,Действующая,Астраханская область,Общественные фонды,2018,,57000.0,57000.0,,,,,,,339000.0,,,339000.0,339000.0,,,,,,,,,41000.0,,,,,,,
"ОФИЦЕРСКИЕ ДИНАСТИИ, ТРОФ",1187232002913.0,2018-02-07 00:00:00,Действующая,Тюменская область,Общественные фонды,2018,,,,,,10000.0,,,,10000.0,,,,10000.0,,,,,,,,,,,,,,,,
"ОФИЦЕРСКИЙ ОБКОМ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1207800111155.0,2020-09-04 00:00:00,Действующая,Санкт-Петербург,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ОФИЦЕРСКОЕ СОБРАНИЕ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1045007901267.0,2004-02-10 00:00:00,Действующая,Московская область,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ОФИЦЕРЫ В РТ, БФ",1201600008411.0,2020-02-05 00:00:00,Действующая,Республика Татарстан,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ОФИЦЕРЫ ОРЕНБУРЖЬЯ, БФ",1145658028372.0,2014-09-05 00:00:00,Действующая,Оренбургская область,Благотворительные фонды,2018,5000.0,,,115000.0,,33000.0,,,16000.0,4000.0,,13000.0,,33000.0,5000.0,5000.0,,,,,,,,,,110000.0,,1000.0,,4000.0
"ОФИЦЕРЫ РОССИИ ; РОБФ ОФИЦЕРЫ РОССИИ, РОБФ СОДЕЙСТВИЯ ДЕЯТЕЛЬНОСТИ ОРГАНИЗАЦИИ",1142900000594.0,2014-06-25 00:00:00,Действующая,Архангельская область,Благотворительные фонды,2018,,466000.0,481000.0,,,24000.0,,,,24000.0,,,24000.0,24000.0,,,,,,,,,157000.0,309000.0,,,,,,
"ОФИЦЕРЫ ТОМСКОЙ ОБЛАСТИ, РБФ",1157000000684.0,2015-08-26 00:00:00,Действующая,Томская область,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ОФИЦЕРЫ, ОРОФ",1115543040612.0,2011-11-15 00:00:00,Действующая,Омская область,Общественные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ОФМБК ИРКУТСКОЙ ОБЛАСТИ,1103800000677.0,2010-04-08 00:00:00,Действующая,Иркутская область,Общественные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ОФПО Г. НОВОСИБИРСКА,1035400002550.0,1998-08-12 00:00:00,Действующая,Новосибирская область,Общественные фонды,2018,,1708000.0,1717000.0,,49000.0,228000.0,,,,277000.0,,,276000.0,277000.0,,,,,,,,,,,,,,,,
"ОХРАНА ПРИРОДЫ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1117800018346.0,2011-12-20 00:00:00,Действующая,Ленинградская область,Благотворительные фонды,2018,,,,3077000.0,583000.0,618000.0,,,157000.0,1048000.0,,13000.0,,1266000.0,1147000.0,19000.0,,,,,1163000.0,35000.0,,,,3058000.0,,,,1147000.0
"ОЧАГ ТЕПЛА, БФ",1226100006362.0,2022-03-16 00:00:00,Действующая,Ростовская область,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ОЧАЛАН, НКО БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1191700000117.0,2019-02-22 00:00:00,Действующая,Тыва (Республика),Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ОЧУР, ФОНД",1211700000830.0,2021-05-05 00:00:00,Действующая,Тыва (Республика),Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ПАВЛА КАРЕЛИНА, ФОНД ИМ.",1125200000782.0,2012-02-21 00:00:00,Действующая,Нижегородская область,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ПАК, НБФ",1130400000400.0,2013-07-16 00:00:00,Действующая,Алтай (Республика),Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ПАЛЕХ, БФ",1183700000440.0,2018-09-07 00:00:00,Действующая,Ивановская область,Благотворительные фонды,2018,,4000.0,10000.0,,,6000.0,,,,,,,6000.0,6000.0,-4000.0,,,1000.0,,,,4000.0,,,,,,,,-4000.0
"ПАЛИТРА ИСКУССТВ, МОФПК",1037858006548.0,2000-05-12 00:00:00,Действующая,Санкт-Петербург,Общественные фонды,2018,77000.0,,,101000.0,920000.0,46000.0,,,,383000.0,,161000.0,,1048000.0,53000.0,77000.0,,,,,,24000.0,,,,24000.0,,,,53000.0
"ПАЛИТРА, БФ",1219100017289.0,2021-10-27 00:00:00,Действующая,Республика Крым,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ПАЛЛАДА, БФ",1172724027915.0,2017-10-23 00:00:00,Действующая,Хабаровский край,Благотворительные фонды,2018,,4419000.0,5395000.0,,149000.0,1195000.0,,,,1344000.0,,,1344000.0,1344000.0,,,,8000.0,,,,,387000.0,4011000.0,,,,,,
"ПАЛЛАДИЙ, БФ",1171690097259.0,2017-09-26 00:00:00,Действующая,Республика Татарстан,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ПАЛОМНИК, БФ",1124800000159.0,2012-02-17 00:00:00,Действующая,Липецкая область,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ПАМЯТИ БРАТЬЕВ БАНДОРИНЫХ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1056400001140.0,2005-04-12 00:00:00,Действующая,Саратовская область,Благотворительные фонды,2018,-417000.0,797000.0,580000.0,,5243000.0,367000.0,,,,5605000.0,,5000.0,5631000.0,5610000.0,,-417000.0,,,,,430000.0,13000.0,595000.0,189000.0,,417000.0,,11000.0,,-11000.0
"ПАМЯТИ ГЕРОЕВ, МБФ",1196313034345.0,2019-04-12 00:00:00,Действующая,Самарская область,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ПАМЯТИ ЗАЩИТНИКОВ ОТЕЧЕСТВА, БФ",1171001003634.0,2017-04-07 00:00:00,Действующая,Карелия (Республика),Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ПАМЯТИ ИМЕНИ ВОЛОДИ ЖЕНОВА, ФОНД",1035402465064.0,2002-06-28 00:00:00,Действующая,Новосибирская область,Благотворительные фонды,2018,,2607000.0,2244000.0,,5000.0,106000.0,,,,111000.0,,,111000.0,111000.0,,,,,,,,,852000.0,1755000.0,,,,,,
"ПАМЯТИ КНЯГИНИ ЕЛИСАВЕТЫ ФЕОДОРОВНЫ, ФОНД",1105000004560.0,2010-08-25 00:00:00,Действующая,Московская область,Благотворительные фонды,2018,,,,5927000.0,10271000.0,133000.0,,,,,,6960000.0,,12961000.0,4727000.0,4808000.0,,,,,,81000.0,,,,1119000.0,,314000.0,,4413000.0
"ПАМЯТИ МИТРОПОЛИТА НИКОЛАЯ, ФОНД",1025200011462.0,2002-06-20 00:00:00,Действующая,Нижегородская область,Общественные фонды,2018,,651000.0,1588000.0,,30000.0,990000.0,,,,1003000.0,,17000.0,989000.0,1020000.0,,,,,,,,,81000.0,550000.0,,,,,,
"ПАМЯТИ Н.М. ПРЖЕВАЛЬСКОГО, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1147800002789.0,2014-04-30 00:00:00,Действующая,Санкт-Петербург,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ПАМЯТИ ФУТБОЛИСТОВ И СОТРУДНИКОВ ФК ЗНАМЯ ТРУДА , ПОГИБШИХ В МАЕ 2004Г., НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1045007012467.0,2004-12-10 00:00:00,Действующая,Московская область,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ПАМЯТНИК ШАРВИЛИ, ДРОБФ",1040500000903.0,2004-05-26 00:00:00,Действующая,Дагестан (Республика),Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ПАМЯТНИКИ ГОРОДА-ГЕРОЯ СЕВАСТОПОЛЯ И РЕСПУБЛИКИ КРЫМ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1145000004270.0,2014-06-24 00:00:00,Действующая,Московская область,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ПАМЯТНИКИ РОДИНЫ, МООФ",1035000026820.0,2003-07-31 00:00:00,Действующая,Московская область,Общественные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ПАМЯТЬ ВЫГОВСКОГО КРАЯ, БФ",1131000000746.0,2013-09-27 00:00:00,Действующая,Карелия (Республика),Благотворительные фонды,2018,,,,,,,,,,112000.0,,,,112000.0,,,,,,,,,,,,,,,,
"ПАМЯТЬ ЖИВЫХ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1176658120870.0,2017-12-25 00:00:00,Действующая,Свердловская область,Благотворительные фонды,2018,,51000.0,51000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ПАМЯТЬ И ВЕРА, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1115000001808.0,2011-04-06 00:00:00,Действующая,Московская область,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ПАМЯТЬ ПУЛКОВСКИХ ВЫСОТ, БФ",1217800082697.0,2021-05-26 00:00:00,Действующая,Санкт-Петербург,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ПАМЯТЬ РЕСПУБЛИКИ АЛТАЙ, ФОНД",1200400001482.0,2020-07-20 00:00:00,Действующая,Алтай (Республика),Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ПАМЯТЬ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1036000306803.0,2003-01-27 00:00:00,Действующая,Псковская область,Благотворительные фонды,2018,,136000.0,130000.0,,,591000.0,,,,590000.0,,1000.0,590000.0,591000.0,,,,,,,,,92000.0,42000.0,,,,,,
"ПАМЯТЬ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1104000000884.0,2010-12-16 00:00:00,Действующая,Калужская область,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ПАМЯТЬ, БФ",1020502631863.0,1999-08-03 00:00:00,Действующая,Дагестан (Республика),Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ПАМЯТЬ, БФ",1143600001181.0,2014-09-17 00:00:00,Действующая,Воронежская область,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ПАМЯТЬ, БФ",1140500000607.0,2014-04-16 00:00:00,Действующая,Дагестан (Республика),Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ПАМЯТЬ, БФ ПО РАЗВИТИЮ МЕМОРИАЛЬНОГО КОМПЛЕКСА",1115000004217.0,2011-07-25 00:00:00,Действующая,Московская область,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ПАМЯТЬ, БФ",1176234012382.0,2017-05-30 00:00:00,Действующая,Рязанская область,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ПАМЯТЬ, ФОНД",1110600000103.0,2011-02-28 00:00:00,Действующая,Ингушетия (Республика),Благотворительные фонды,2018,,486537000.0,844866000.0,,,378331000.0,,,,378341000.0,,,378331000.0,378341000.0,,,,,,,,,289000.0,486248000.0,,,,,,
"ПАНТЕЛЕЙМОНОВСКИЙ ФОНД, БФ",1107800003156.0,2010-06-21 00:00:00,Действующая,Санкт-Петербург,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ПАПА КАРЛО, БФ",1205000076731.0,2020-09-02 00:00:00,Действующая,Московская область,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ПАПА РЯДОМ, ФОНД",1217800182115.0,2021-11-25 00:00:00,Действующая,Санкт-Петербург,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
КРАСНОЯРСКИЙ МЕСТНЫЙ ОБЩЕСТВЕННЫЙ БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ПОДДЕРЖКИ МУНИЦИПАЛЬНОГО ОБЩЕОБРАЗОВАТЕЛЬНОГО УЧРЕЖДЕНИЯ -ЛИЦЕЯ №3,1062400022706.0,2006-07-20 00:00:00,Действующая,Красноярский край,Благотворительные фонды,2018,,429000.0,452000.0,,,31000.0,,,,31000.0,,,31000.0,31000.0,,,,,,,,,,429000.0,,,,,,
"ПАРАСКЕВА, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1187800006680.0,2018-12-04 00:00:00,Действующая,Санкт-Петербург,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ПАРИТЕТ, БФ",1025000507300.0,2002-08-05 00:00:00,Действующая,Московская область,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ПАРИТЕТ, БФ СОДЕЙСТВИЯ ПОВЫШЕНИЮ УРОВНЯ ЗНАНИЙ И ПРОФЕССИОНАЛЬНЫХ КОММУНИКАЦИЙ",1127799026299.0,2012-12-18 00:00:00,Действующая,Московская область,Благотворительные фонды,2018,,106898000.0,103600000.0,,468000.0,732000.0,,,,995000.0,,275000.0,925000.0,1270000.0,,,,170000.0,,,,,15388000.0,91340000.0,,,,,,
ПАРК ПРЕОБРАЖЕНИЕ ОРЛОВСКОЙ ОБЛАСТИ,1085700000011.0,2008-01-24 00:00:00,Действующая,Орловская область,Общественные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ПАРМА, БФ",1165958080837.0,2016-05-18 00:00:00,Действующая,Пермский край,Благотворительные фонды,2018,,502000.0,502000.0,,,5000.0,,,,5000.0,,,,5000.0,,,,,,,,,,500000.0,,,,,,
"ПАРМА-БАЛЕТ, ПРОФ",1095900002483.0,2009-09-10 00:00:00,Действующая,Пермский край,Общественные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ПАРНАС, БФ",1155000001474.0,2015-04-24 00:00:00,Действующая,Московская область,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ПАРО (ДОБРО), МБФ",1146300001099.0,2014-04-17 00:00:00,Действующая,Самарская область,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ОТКРЫТЫЕ ВОЗМОЖНОСТИ, БФ",1171001007231.0,2017-07-17 00:00:00,Действующая,Карелия (Республика),Благотворительные фонды,2018,,255000.0,255000.0,,,2000.0,,,,,,2000.0,,2000.0,,,,236000.0,,,,,15000.0,,,,,,,
"ПАРТНЁРСТВО, БЛАГОТВОРИТЕЛЬНЫЙ ОБЩЕСТВЕННЫЙ ФОНД",1105800001603.0,2010-10-22 00:00:00,Действующая,Пензенская область,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ПАРТНЕР, МЕСТНЫЙ ОБЩЕСТВЕННЫЙ ФОНД БАЛАХТИНСКОГО РАЙОНА ПОДДЕРЖКИ СОЦИАЛЬНО ЗНАЧИМЫХ ПРОЕКТОВ",1042400005251.0,2004-06-18 00:00:00,Действующая,Красноярский край,Общественные фонды,2018,,644.0,644.0,,,,,,,,,,,,,,,,,,,,,644.0,,,,,,
"ПАРТНЕРЫ В ОБРАЗОВАНИИ, ОФ Г. НОВОСИБИРСКА",1025400005476.0,2001-09-06 00:00:00,Действующая,Новосибирская область,Общественные фонды,2018,,,,,13000.0,143000.0,,,,155000.0,,,,155000.0,,,,,,,,,,,,,,,,
"ПАРУС, БФ",1107000000513.0,2010-05-19 00:00:00,Действующая,Томская область,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ПАРУС, ОБЩЕСТВЕННЫЙ ФОНД ШКОЛЫ № 36",1081600000921.0,2008-03-20 00:00:00,Действующая,Республика Татарстан,Благотворительные фонды,2018,,424000.0,365000.0,,10000.0,187000.0,,,,197000.0,,,197000.0,197000.0,,,,,,,,,,424000.0,,,,,,
"ПАРУС, СРОБДФ",1026403681303.0,1998-12-03 00:00:00,Действующая,Саратовская область,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ПАСХАЛИЯ, БФ",1213900009003.0,2021-07-14 00:00:00,Действующая,Калининградская область,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ПАТРИОТ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1185000002351.0,2018-06-05 00:00:00,Действующая,Московская область,Благотворительные фонды,2018,,,,,,439000.0,,,,439000.0,,,,439000.0,,,,,,,,,,,,,,,,
"ПАТРИОТ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД СОЦИАЛЬНОЙ ПОДДЕРЖКИ И ПОМОЩИ КАДЕТСКОЙ ШКОЛЕ",1025003214565.0,2000-06-07 00:00:00,Действующая,Московская область,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ПАТРИОТ, БФ",1220500006055.0,2022-05-06 00:00:00,Действующая,Дагестан (Республика),Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ПАТРИОТ, БФ",1096100002680.0,2009-08-12 00:00:00,Действующая,Ростовская область,Благотворительные фонды,2018,,,,,13825000.0,74000.0,,,,91000.0,,,,31937000.0,,,,,,,,,,,,,,,,
"ПАТРИОТ, КРОФ",1044690002169.0,2004-07-26 00:00:00,Действующая,Курская область,Общественные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ПАТРИОТ, МАГНИТОГОРСКИЙ БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1167400052390.0,2016-10-24 00:00:00,Действующая,Челябинская область,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ПАТРИОТ, ОБФ",1032602092731.0,2001-11-05 00:00:00,Действующая,Ставропольский край,Благотворительные фонды,2018,,,,,,10000.0,,,,10000.0,,,,10000.0,,,,,,,,,,,,,,,,
"ПАТРИОТ, СУРГУТСКИЙ ФОНД",1058602080998.0,2005-05-27 00:00:00,Действующая,Тюменская область,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ПАТРИОТ, ФОНД",1033800004171.0,1999-05-07 00:00:00,Действующая,Иркутская область,Общественные фонды,2018,,,,,,1000.0,,,,-481000.0,,1000.0,,3000.0,,,,,,,,,,,,,,,,
"ПАТРИОТ, ФОНД",1165476057658.0,2016-01-28 00:00:00,Действующая,Новосибирская область,Благотворительные фонды,2018,,,,,2000.0,,,,,12000.0,,11000.0,,23000.0,,,,,,,,,,,,,,,,
"ПАТРИОТЫ РОДИНЫ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1142300003130.0,2014-08-28 00:00:00,Действующая,Краснодарский край,Благотворительные фонды,2018,,632000.0,811000.0,,120000.0,366000.0,,,,13000.0,,,487000.0,486000.0,,,,32000.0,,,,,345000.0,252000.0,,,,,,
"ПАТРИОТЫ РОДИНЫ, БФ",1206300014546.0,2020-02-25 00:00:00,Действующая,Самарская область,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ПАТРИОТЫ ХОККЕЯ, БФ",1195958020565.0,2019-06-18 00:00:00,Действующая,Пермский край,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ПАШАЕВ ФОНД,1225000021950.0,2022-03-10 00:00:00,Действующая,Московская область,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ПБФ БЛАЖЕННОЙ МАТРОНЫ МОСКОВСКОЙ,1173443013875.0,2017-06-08 00:00:00,Действующая,Волгоградская область,Благотворительные фонды,2018,,,,,,,,,,10000.0,,,,10000.0,,,,,,,,,,,,,,,,
ПБФ ТЫ НЕ ОДИНОК,1107800003321.0,2010-06-24 00:00:00,Действующая,Санкт-Петербург,Благотворительные фонды,2018,,9000.0,,,13000.0,,,,,13000.0,,,13000.0,13000.0,,,,,,,,,,,,,,,,
"ПБФ ХРАМА ТРЕХ СВЯТИТЕЛЕЙ, ФОНД",1024000957012.0,2000-10-31 00:00:00,Действующая,Калужская область,Благотворительные фонды,2018,,,,,42000.0,1000.0,,,,,,41000.0,,61000.0,,,,,,,,,,,,,,,,
ПБФСПЗВПО,1045900508610.0,1995-05-20 00:00:00,Действующая,Пермский край,Благотворительные фонды,2018,,298000.0,392000.0,,,94000.0,,,,94000.0,,,94000.0,94000.0,,,,,,,,,,298000.0,,,,,,
"ПВ, БФ",1175000004398.0,2017-08-08 00:00:00,Действующая,Московская область,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ПДОВ ПОЛИНА, БФ",1166313090580.0,2016-04-25 00:00:00,Действующая,Самарская область,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ПЕЛИКАН, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1062130000426.0,2006-04-14 00:00:00,Действующая,Чувашская Республика-Чувашия,Благотворительные фонды,2018,,505000.0,475000.0,,2000.0,243000.0,,,,,,,245000.0,245000.0,,,,,,,,,,505000.0,,,,,,
"ПЕЛИКАН, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1147400002090.0,2014-07-18 00:00:00,Действующая,Челябинская область,Благотворительные фонды,2018,,,,,,477000.0,,,,10000.0,,617000.0,,627000.0,,,,,,,,,,,,,,,,
"ПЕНАТЫ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1147800005110.0,2014-08-27 00:00:00,Действующая,Санкт-Петербург,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ПЕНЗА МОЛОДАЯ Г.ПЕНЗЫ, ОБЩЕСТВЕННЫЙ ФОНД",1035800003843.0,1997-05-14 00:00:00,Действующая,Пензенская область,Общественные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ПЕНЗЕНСКОЕ ОБЛАСТНОЕ ОТДЕЛЕНИЕ РОССИЙСКОГО ДЕТСКОГО ФОНДА,1025800008200.0,1992-10-09 00:00:00,Действующая,Пензенская область,Благотворительные фонды,2018,,8635000.0,9669000.0,,3000.0,1089000.0,,,,1975000.0,,177000.0,917000.0,2152000.0,,,,98000.0,,,,,467000.0,8003000.0,,,,,,
"ПЕНСИОНЕР, КУБФ",1156600001458.0,2015-06-10 00:00:00,Действующая,Свердловская область,Благотворительные фонды,2018,,2168000.0,1790000.0,,,86000.0,,,,75000.0,,11000.0,65000.0,86000.0,,,,,,,,,69000.0,2099000.0,,,,,,
"ПЕНСИОНЕР, НОБФ",1052443001456.0,2005-02-14 00:00:00,Действующая,Красноярский край,Благотворительные фонды,2018,,5812000.0,5867000.0,,,1633000.0,,,,1633000.0,,,1633000.0,1633000.0,,,,,,,,,1364000.0,4448000.0,,,,,,
"ПЕНСИОНЕРЫ ЗА!, СРОФ",1106600001243.0,2010-04-02 00:00:00,Действующая,Свердловская область,Общественные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ПЕРВАЯ ЗАБОТА, БФ",1225800000381.0,2022-01-25 00:00:00,Действующая,Пензенская область,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ПЕРВАЯ РОТА, БФ",1116200000091.0,2011-01-27 00:00:00,Действующая,Рязанская область,Благотворительные фонды,2018,,12000.0,12000.0,,,12000.0,,,,,,,,12000.0,,,,,,,,,,12000.0,,,,,,
"ПЕРВОВЕРХОВНЫХ АПОСТОЛОВ ПЕТРА И ПАВЛА, БФ",1187800001047.0,2018-03-05 00:00:00,Действующая,Санкт-Петербург,Благотворительные фонды,2018,,3751000.0,3754000.0,,5000.0,,,,,5000.0,,,3000.0,5000.0,-14000.0,,,,,,2000.0,16000.0,154000.0,3598000.0,,,,,,-14000.0
"ПЕРВОГОРОД, БФ",1165958052941.0,2016-01-21 00:00:00,Действующая,Пермский край,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ПЕРВОЗДАННОЕ СОЛНЦЕ, БФ",1185958071375.0,2018-12-25 00:00:00,Действующая,Пермский край,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
